,compound,status,index
0,Ethanolamine,found,
1,Oxybenzone,found,126 - BB Cream SPF 35
2,Resorcinol,found,1060 - Radiance Awakening Mask Intense
3,Formaldehyde,not found,
4,Diethanol,not found,
5,Silane,found,8 - Ultra Facial Cream
6,Siloxane,found,1209 - Essential-C Eye Cream SPF 15 PA++
7,Octinaxate,not found,
