,Toxin,Toxin Occurance,Toxicity
0,Ethanolamine,Ethanolamine,Low
1,Oxybenzone,Oxybenzone,Low
2,Resorcinol,Resorcinol,Low
3,Formaldehyde,Formaldehyde,Low
4,Diethanol,Diethanol,Low
5,Silane,Silane,Low
6,Octinaxate,Octinaxate,Low
7,Parfum,Parfum,Low
8,Fragrance,Fragrance,Low
9,Triclosan,Triclosan,Low
10,Octinoxate,Octinoxate,Low
11,Homosalate,Homosalate,Low
12,Teflon,Teflon,Low
13,Talc,Talc,Low
14,Parabens,Parabens,Low
15,Glycols,Glycols,Low
